# Iteration Jacobi Gauss-Seidel
0 0.890399 0.550114
1 0.263661 -0.426607
2 -0.361132 -1.40105
3 -0.983775 -2.37406
4 -1.60577 -3.34448
5 -2.22731 -4.31602
6 -2.84888 -5.28608
7 -3.47022 -6.25682
8 -4.09135 -7.22717
9 -4.71253 -
10 -5.33351 -
11 -5.95446 -
12 -6.57544 -
13 -7.19619 -
