# Iteration Jacobi Gauss-Seidel
0 2.64225 2.34901
1 2.90933 2.28344
2 3.23544 2.24448
3 3.59376 2.41857
4 3.96175 2.64374
5 4.33881 2.8647
6 4.71433 3.08927
7 5.09232 3.31992
8 5.47131 3.55659
9 5.85012 3.98593
10 6.22891 4.56333
11 6.60813 5.14376
12 6.98704 5.72778
13 7.36627 6.3124
14 7.74543 6.89865
15 8.12454 7.48615
16 8.5039 8.07441
17 8.88314 8.66332
18 9.26239 9.25311
19 9.64182 9.84373
20 10.0212 10.4348
21 10.4004 11.0262
22 10.7799 11.6183
23 11.1594 12.2109
24 11.5388 12.8038
25 11.9182 13.397
26 12.2978 13.9906
27 12.6772 14.5847
28 13.0567 15.1789
29 13.4362 15.7733
30 13.8158 16.368
31 14.1953 16.9631
32 14.5748 17.5584
33 14.9544 18.1537
34 15.334 18.7493
35 15.7136 19.3452
36 16.0932 19.9412
37 16.4727 20.5373
38 16.8524 21.1335
39 17.232 21.7301
40 17.6117 22.3267
41 17.9913 22.9233
42 18.3709 23.5202
43 18.7506 24.1172
44 19.1303 24.7143
45 19.5099 25.3115
46 19.8896 25.9088
47 20.2692 26.5063
48 20.6489 27.1038
49 21.0286 27.7013
50 21.4083 28.299
51 21.788 28.8968
52 22.1677 29.4947
53 22.5474 30.0926
54 22.9271 30.6906
55 23.3069 31.2888
56 23.6866 31.8869
57 24.0664 32.4851
58 24.4461 33.0834
59 24.8258 33.6818
60 25.2055 34.2802
61 25.5853 34.8787
62 25.9651 35.4772
63 26.3448 36.0759
64 26.7246 36.6745
65 27.1043 37.2732
66 27.4841 37.8719
67 27.8638 38.4708
68 28.2436 39.0696
69 28.6234 39.6685
70 29.0032 40.2674
71 29.383 40.8665
72 29.7628 41.4655
73 30.1425 42.0645
74 30.5223 42.6636
75 30.9021 43.2628
76 31.2819 43.862
77 31.6617 44.4612
78 32.0415 45.0605
79 32.4213 45.6598
80 32.8011 46.2592
81 33.1809 46.8585
82 33.5607 47.4579
83 33.9406 48.0574
84 34.3204 48.6569
85 34.7002 49.26
86 35.0801 49.8636
87 35.4599 50.4647
88 35.8397 51.0632
89 36.2195 51.6591
90 36.5993 52.2525
91 36.9792 52.8436
92 37.359 53.4321
93 37.7389 54.0184
94 38.1187 54.6023
95 38.4986 55.1839
96 38.8784 55.7633
97 39.2582 56.3404
98 39.6381 56.9154
99 40.0179 57.4883
100 40.3978 58.059
101 40.7777 58.6277
102 41.1575 59.1943
103 41.5374 59.7589
104 41.9172 60.3215
105 42.2971 60.8822
106 42.6769 61.441
107 43.0568 61.9979
108 43.4367 62.5529
109 43.8165 63.1061
110 44.1964 63.6575
111 44.5763 64.2071
112 44.9562 64.7549
113 45.3361 65.301
114 45.7159 65.8454
115 46.0958 66.3882
116 46.4757 66.9292
117 46.8555 67.4687
118 47.2354 68.0065
119 47.6153 68.5428
120 47.9952 69.0774
121 48.3751 69.6106
122 48.755 70.1422
123 49.1349 70.6723
124 49.5148 71.2009
125 49.8946 71.7281
126 50.2745 72.2538
127 50.6544 72.7781
128 51.0343 73.3009
129 51.4142 73.8224
130 51.7941 74.3426
131 52.174 74.8613
132 52.5539 75.3787
133 52.9338 75.8948
134 53.3137 76.4096
135 53.6936 76.9232
136 54.0735 77.4354
137 54.4534 77.9464
138 54.8333 78.4561
139 55.2132 78.9646
140 55.5932 79.4719
141 55.9731 79.978
142 56.353 80.483
143 56.7329 80.9867
144 57.1128 81.4893
145 57.4927 81.9908
146 57.8727 82.4911
147 58.2526 82.9903
148 58.6325 83.4884
149 59.0124 83.9854
150 59.3923 84.4814
151 59.7722 84.9762
152 60.1522 85.47
153 60.5321 85.9628
154 60.912 86.4545
155 61.292 86.9453
156 61.6719 87.435
157 62.0518 87.9237
158 62.4317 88.4114
159 62.8116 88.8981
160 63.1916 89.3839
161 63.5715 89.8687
162 63.9514 90.3526
163 64.3314 90.8355
164 64.7113 91.3175
165 65.0912 91.7986
166 65.4712 92.2788
167 65.8511 92.7581
168 66.2311 93.2365
169 66.611 93.714
170 66.9909 94.1906
171 67.3709 94.6664
172 67.7508 95.1413
173 68.1307 95.6154
174 68.5107 96.0886
175 68.8906 96.561
176 69.2706 97.0326
177 69.6505 97.5033
178 70.0305 97.9733
179 70.4104 98.4424
