# Iteration Jacobi Gauss-Seidel
0 1.5989473641e+00 1.2987788254e+00
1 1.1989185881e+00 5.1872601761e-01
2 7.9967602745e-01 -2.6296480983e-01
3 4.0049328095e-01 -1.0414235948e+00
4 1.4458675391e-03 -1.8213806029e+00
5 -3.9750660347e-01 -2.6009027781e+00
6 -7.9642095460e-01 -3.3804755407e+00
7 -1.1950471297e+00 -4.1600956078e+00
8 -1.5937170405e+00 -4.9396851186e+00
9 -1.9923384292e+00 -5.7192950192e+00
10 -2.3908798604e+00 -6.4989061614e+00
11 -2.7894405486e+00 -7.2785216343e+00
12 -3.1879297393e+00 NaN
13 -3.5864061442e+00 NaN
14 -3.9848966254e+00 NaN
15 -4.3832905269e+00 NaN
16 -4.7817761956e+00 NaN
17 -5.1801308382e+00 NaN
18 -5.5785194623e+00 NaN
19 -5.9769519558e+00 NaN
20 -6.3752601598e+00 NaN
21 -6.7736216886e+00 NaN
