# Iteration Jacobi Gauss-Seidel
0 2.6178221897e+00 2.3382734785e+00
1 2.8773615266e+00 2.2766611757e+00
2 3.1990680524e+00 2.2404467975e+00
3 3.5554000351e+00 2.4343861753e+00
4 3.9232581892e+00 2.6591835968e+00
5 4.2992054163e+00 3.0675270506e+00
6 4.6742116540e+00 3.5826363851e+00
7 5.0521364477e+00 4.1477225817e+00
8 5.4309982808e+00 4.7162922289e+00
9 5.8097248870e+00 5.2949606490e+00
10 6.1884746598e+00 5.8740015884e+00
11 6.5674916623e+00 6.4556271527e+00
12 6.9464060949e+00 7.0394069650e+00
13 7.3253892935e+00 7.6244170042e+00
14 7.7045577873e+00 8.2104682327e+00
15 8.0835628490e+00 8.7975970817e+00
16 8.4627833782e+00 9.3860546922e+00
17 8.8420244129e+00 9.9751512067e+00
18 9.2211501588e+00 1.0564822999e+01
19 9.6004533427e+00 1.1155145036e+01
20 9.9797934421e+00 1.1746365421e+01
21 1.0359048452e+01 1.2337969031e+01
22 1.0738333860e+01 1.2929926033e+01
23 1.1117775464e+01 1.3522315696e+01
24 1.1497152392e+01 1.4115366018e+01
25 1.1876467636e+01 1.4708664084e+01
26 1.2255897730e+01 1.5302194470e+01
27 1.2635383952e+01 1.5896032323e+01
28 1.3014821700e+01 1.6490383937e+01
29 1.3394213080e+01 1.7084903843e+01
30 1.3773687930e+01 1.7679583564e+01
31 1.4153231089e+01 1.8274492296e+01
32 1.4532736793e+01 1.8869816728e+01
33 1.4912206517e+01 1.9465259394e+01
34 1.5291659557e+01 2.0060815479e+01
35 1.5671262329e+01 2.0656548253e+01
36 1.6050835405e+01 2.1252627464e+01
37 1.6430379835e+01 2.1848791653e+01
38 1.6809896690e+01 2.2445038059e+01
39 1.7189428915e+01 2.3041424568e+01
40 1.7569065413e+01 2.3638106438e+01
41 1.7948678622e+01 2.4234850270e+01
42 1.8328269314e+01 2.4831654512e+01
43 1.8707838269e+01 2.5428572306e+01
44 1.9087386273e+01 2.6025746495e+01
45 1.9467060970e+01 2.6622966194e+01
46 1.9846717695e+01 2.7220230589e+01
47 2.0226356297e+01 2.7817588678e+01
48 2.0605977353e+01 2.8415172607e+01
49 2.0985581442e+01 2.9012789977e+01
50 2.1365210610e+01 2.9610440435e+01
51 2.1744910743e+01 3.0208169360e+01
52 2.2124595998e+01 3.0806099620e+01
53 2.2504266804e+01 3.1404054277e+01
54 2.2883923596e+01 3.2002033268e+01
55 2.3263566803e+01 3.2600078807e+01
56 2.3643221135e+01 3.3198305652e+01
57 2.4022950416e+01 3.3796549994e+01
58 2.4402667603e+01 3.4394811957e+01
59 2.4782373022e+01 3.4993130970e+01
60 2.5162067003e+01 3.5591614654e+01
61 2.5541749870e+01 3.6190110493e+01
62 2.5921421948e+01 3.6788618729e+01
63 2.6301148290e+01 3.7387176332e+01
64 2.6680898133e+01 3.7985884597e+01
65 2.7060638215e+01 3.8584600828e+01
66 2.7440368785e+01 3.9183325345e+01
67 2.7820090095e+01 3.9782092926e+01
68 2.8199802393e+01 4.0380999232e+01
69 2.8579505925e+01 4.0979910187e+01
70 2.8959255840e+01 4.1578826155e+01
71 2.9339029395e+01 4.2177779961e+01
72 2.9718794919e+01 4.2776862210e+01
73 3.0098552604e+01 4.3375946456e+01
74 3.0478302645e+01 4.3975033090e+01
75 3.0858045232e+01 4.4574153181e+01
76 3.1237780556e+01 4.5173392779e+01
77 3.1617518251e+01 4.5772632239e+01
78 3.1997316610e+01 4.6371871964e+01
79 3.2377108246e+01 4.6971141441e+01
80 3.2756893313e+01 4.7570522593e+01
81 3.3136671959e+01 4.8169901877e+01
82 3.3516444337e+01 4.8769279701e+01
83 3.3896210593e+01 4.9368684093e+01
84 3.4275970876e+01 4.9968193429e+01
85 3.4655733016e+01 5.0568369089e+01
86 3.5035550379e+01 5.1172928315e+01
87 3.5415362153e+01 5.1775489897e+01
88 3.5795168457e+01 5.2375461530e+01
89 3.6174969410e+01 5.2972888570e+01
90 3.6554765130e+01 5.3567815177e+01
91 3.6934555733e+01 5.4160284363e+01
92 3.7314341334e+01 5.4750338025e+01
93 3.7694122047e+01 5.5338016990e+01
94 3.8073933778e+01 5.5923361047e+01
95 3.8453766369e+01 5.6506408984e+01
96 3.8833594335e+01 5.7087198621e+01
97 3.9213417771e+01 5.7665766843e+01
98 3.9593236770e+01 5.8242149629e+01
99 3.9973051424e+01 5.8816382082e+01
100 4.0352861825e+01 5.9388498461e+01
101 4.0732668063e+01 5.9958532200e+01
102 4.1112470228e+01 6.0526515943e+01
103 4.1492296978e+01 6.1092481563e+01
104 4.1872146292e+01 6.1656460190e+01
105 4.2251991718e+01 6.2218482229e+01
106 4.2631833330e+01 6.2778577387e+01
107 4.3011671204e+01 6.3336774693e+01
108 4.3391505412e+01 6.3893102517e+01
109 4.3771336027e+01 6.4447588592e+01
110 4.4151163121e+01 6.5000260030e+01
111 4.4530986767e+01 6.5551143344e+01
112 4.4910807033e+01 6.6100264461e+01
113 4.5290668608e+01 6.6647648745e+01
114 4.5670531846e+01 6.7193321007e+01
115 4.6050391828e+01 6.7737305525e+01
116 4.6430248613e+01 6.8279626057e+01
