# Iteration Jacobi Gauss-Seidel
0 1.9871058081e+00 1.6172452259e+00
1 1.9273786499e+00 1.1269077501e+00
2 1.9185291256e+00 7.8869596773e-01
3 1.9137273630e+00 4.1993954442e-01
4 1.9101059669e+00 8.4643111426e-02
5 1.9073333726e+00 -2.3980895969e-01
6 1.9048935974e+00 -5.8746896410e-01
7 1.9031331439e+00 -8.8522061592e-01
8 1.9012795358e+00 -1.2192416750e+00
9 1.8996399334e+00 -1.5258424829e+00
10 1.8979535994e+00 -1.8395623373e+00
11 1.8965044930e+00 -2.1655921372e+00
12 1.8948568348e+00 -2.4623268217e+00
13 1.8935838031e+00 -2.7842310693e+00
14 1.8921418841e+00 -3.0880131340e+00
15 1.8907766177e+00 -3.3956643000e+00
16 1.8895393965e+00 -3.7169972525e+00
17 1.8881827602e+00 -4.0114811458e+00
18 1.8869431102e+00 -4.3265698900e+00
19 1.8857808753e+00 -4.6315186312e+00
20 1.8845312028e+00 -4.9350382859e+00
21 1.8833124581e+00 -5.2557645189e+00
22 1.8822357408e+00 -5.5481061205e+00
23 1.8810929241e+00 -5.8584873364e+00
24 1.8798867808e+00 -6.1656071943e+00
25 1.8788377428e+00 NaN
26 1.8777935903e+00 NaN
27 1.8766999802e+00 NaN
28 1.8755589276e+00 NaN
29 1.8745787214e+00 NaN
30 1.8735831306e+00 NaN
31 1.8725494409e+00 NaN
32 1.8714790748e+00 NaN
33 1.8704987293e+00 NaN
34 1.8695567277e+00 NaN
35 1.8685846204e+00 NaN
36 1.8675834228e+00 NaN
37 1.8665576889e+00 NaN
38 1.8656689749e+00 NaN
39 1.8647559641e+00 NaN
40 1.8638193888e+00 NaN
41 1.8628600023e+00 NaN
42 1.8618814885e+00 NaN
43 1.8610233230e+00 NaN
44 1.8601457375e+00 NaN
45 1.8592492813e+00 NaN
46 1.8583345147e+00 NaN
47 1.8574020053e+00 NaN
48 1.8565308934e+00 NaN
49 1.8556906703e+00 NaN
50 1.8548350335e+00 NaN
51 1.8539644038e+00 NaN
52 1.8530792058e+00 NaN
53 1.8521798666e+00 NaN
54 1.8513575175e+00 NaN
55 1.8505414193e+00 NaN
56 1.8497128367e+00 NaN
57 1.8488720914e+00 NaN
58 1.8480195069e+00 NaN
59 1.8471554073e+00 NaN
60 1.8463386355e+00 NaN
61 1.8455492957e+00 NaN
62 1.8447496589e+00 NaN
63 1.8439399733e+00 NaN
64 1.8431204874e+00 NaN
65 1.8422914498e+00 NaN
66 1.8414531086e+00 NaN
67 1.8406870925e+00 NaN
68 1.8399165026e+00 NaN
69 1.8391374775e+00 NaN
70 1.8383502105e+00 NaN
71 1.8375548947e+00 NaN
72 1.8367517224e+00 NaN
73 1.8359408853e+00 NaN
74 1.8351872046e+00 NaN
75 1.8344376076e+00 NaN
76 1.8336809848e+00 NaN
77 1.8329174875e+00 NaN
78 1.8321472672e+00 NaN
79 1.8313704742e+00 NaN
80 1.8305872584e+00 NaN
81 1.8298173162e+00 NaN
82 1.8290894452e+00 NaN
83 1.8283556353e+00 NaN
84 1.8276160065e+00 NaN
85 1.8268706785e+00 NaN
86 1.8261197702e+00 NaN
87 1.8253634002e+00 NaN
88 1.8246016859e+00 NaN
89 1.8238498749e+00 NaN
90 1.8231384928e+00 NaN
91 1.8224221215e+00 NaN
92 1.8217008565e+00 NaN
93 1.8209747930e+00 NaN
94 1.8202440256e+00 NaN
95 1.8195086484e+00 NaN
96 1.8187687547e+00 NaN
97 1.8180244371e+00 NaN
98 1.8173149826e+00 NaN
99 1.8166166225e+00 NaN
100 1.8159140903e+00 NaN
101 1.8152074625e+00 NaN
102 1.8144968150e+00 NaN
103 1.8137822232e+00 NaN
104 1.8130637620e+00 NaN
105 1.8123415058e+00 NaN
106 1.8116155282e+00 NaN
107 1.8109194022e+00 NaN
108 1.8102353744e+00 NaN
109 1.8095478084e+00 NaN
110 1.8088567659e+00 NaN
111 1.8081623081e+00 NaN
112 1.8074644956e+00 NaN
113 1.8067633888e+00 NaN
114 1.8060590473e+00 NaN
115 1.8053515304e+00 NaN
116 1.8046462612e+00 NaN
117 1.8039770717e+00 NaN
118 1.8033048437e+00 NaN
119 1.8026296273e+00 NaN
120 1.8019514721e+00 NaN
121 1.8012704274e+00 NaN
122 1.8005865424e+00 NaN
123 1.7998998654e+00 NaN
124 1.7992104447e+00 NaN
125 1.7985183280e+00 NaN
126 1.7978244106e+00 NaN
127 1.7971674256e+00 NaN
128 1.7965078428e+00 NaN
129 1.7958457028e+00 NaN
130 1.7951810462e+00 NaN
131 1.7945139132e+00 NaN
132 1.7938443434e+00 NaN
133 1.7931723766e+00 NaN
134 1.7924980519e+00 NaN
135 1.7918214080e+00 NaN
136 1.7911424836e+00 NaN
137 1.7904747584e+00 NaN
138 1.7898281103e+00 NaN
139 1.7891792485e+00 NaN
140 1.7885282064e+00 NaN
141 1.7878750167e+00 NaN
142 1.7872197124e+00 NaN
143 1.7865623258e+00 NaN
144 1.7859028891e+00 NaN
145 1.7852414344e+00 NaN
146 1.7845779932e+00 NaN
147 1.7839125969e+00 NaN
148 1.7832498860e+00 NaN
149 1.7826141740e+00 NaN
150 1.7819765530e+00 NaN
151 1.7813370504e+00 NaN
152 1.7806956934e+00 NaN
153 1.7800525089e+00 NaN
154 1.7794075236e+00 NaN
155 1.7787607640e+00 NaN
156 1.7781122563e+00 NaN
157 1.7774620266e+00 NaN
158 1.7768101007e+00 NaN
159 1.7761565042e+00 NaN
160 1.7755110235e+00 NaN
161 1.7748847782e+00 NaN
162 1.7742568917e+00 NaN
163 1.7736273864e+00 NaN
164 1.7729962848e+00 NaN
165 1.7723636089e+00 NaN
166 1.7717293808e+00 NaN
167 1.7710936222e+00 NaN
168 1.7704563549e+00 NaN
169 1.7698176002e+00 NaN
170 1.7691773793e+00 NaN
171 1.7685357134e+00 NaN
172 1.7678926233e+00 NaN
173 1.7672731214e+00 NaN
174 1.7666552677e+00 NaN
175 1.7660360061e+00 NaN
176 1.7654153550e+00 NaN
177 1.7647933328e+00 NaN
178 1.7641699579e+00 NaN
179 1.7635452483e+00 NaN
180 1.7629192221e+00 NaN
181 1.7622918969e+00 NaN
182 1.7616632905e+00 NaN
183 1.7610334204e+00 NaN
184 1.7604023039e+00 NaN
185 1.7597699583e+00 NaN
186 1.7591579038e+00 NaN
187 1.7585488766e+00 NaN
188 1.7579386281e+00 NaN
189 1.7573271735e+00 NaN
190 1.7567145283e+00 NaN
191 1.7561007076e+00 NaN
192 1.7554857264e+00 NaN
193 1.7548695997e+00 NaN
194 1.7542523423e+00 NaN
195 1.7536339689e+00 NaN
196 1.7530144940e+00 NaN
197 1.7523939320e+00 NaN
198 1.7517722974e+00 NaN
199 1.7511527177e+00 NaN
200 1.7505526682e+00 NaN
201 1.7499515483e+00 NaN
202 1.7493493711e+00 NaN
203 1.7487461493e+00 NaN
204 1.7481418957e+00 NaN
205 1.7475366228e+00 NaN
206 1.7469303432e+00 NaN
207 1.7463230693e+00 NaN
208 1.7457148135e+00 NaN
209 1.7451055878e+00 NaN
210 1.7444954046e+00 NaN
211 1.7438842757e+00 NaN
212 1.7432722131e+00 NaN
213 1.7426592286e+00 NaN
214 1.7420619383e+00 NaN
215 1.7414689476e+00 NaN
216 1.7408750320e+00 NaN
217 1.7402802024e+00 NaN
218 1.7396844694e+00 NaN
219 1.7390878435e+00 NaN
220 1.7384903353e+00 NaN
221 1.7378919552e+00 NaN
222 1.7372927135e+00 NaN
223 1.7366926205e+00 NaN
224 1.7360916863e+00 NaN
225 1.7354899211e+00 NaN
226 1.7348873349e+00 NaN
227 1.7342839375e+00 NaN
228 1.7336797388e+00 NaN
229 1.7330888791e+00 NaN
230 1.7325032314e+00 NaN
231 1.7319167763e+00 NaN
232 1.7313295228e+00 NaN
233 1.7307414799e+00 NaN
234 1.7301526564e+00 NaN
235 1.7295630612e+00 NaN
236 1.7289727031e+00 NaN
237 1.7283815906e+00 NaN
238 1.7277897323e+00 NaN
239 1.7271971370e+00 NaN
240 1.7266038130e+00 NaN
241 1.7260097687e+00 NaN
242 1.7254150124e+00 NaN
243 1.7248195526e+00 NaN
244 1.7242233973e+00 NaN
245 1.7236439109e+00 NaN
246 1.7230649846e+00 NaN
247 1.7224853543e+00 NaN
248 1.7219050277e+00 NaN
249 1.7213240122e+00 NaN
250 1.7207423154e+00 NaN
251 1.7201599445e+00 NaN
252 1.7195769070e+00 NaN
253 1.7189932102e+00 NaN
254 1.7184088612e+00 NaN
255 1.7178238673e+00 NaN
256 1.7172382357e+00 NaN
257 1.7166519732e+00 NaN
258 1.7160650871e+00 NaN
259 1.7154775843e+00 NaN
260 1.7148894716e+00 NaN
261 1.7143081747e+00 NaN
262 1.7137360933e+00 NaN
263 1.7131633924e+00 NaN
264 1.7125900783e+00 NaN
265 1.7120161575e+00 NaN
266 1.7114416361e+00 NaN
267 1.7108665205e+00 NaN
268 1.7102908169e+00 NaN
