# Iteration Jacobi Gauss-Seidel
0 1.3781053325e+00 1.0776596957e+00
1 7.5690588742e-01 1.0937887741e-01
2 1.3615660292e-01 -8.6286070236e-01
3 -4.8453129204e-01 -1.8335486070e+00
4 -1.1050829692e+00 -2.8045092195e+00
5 -1.7255388965e+00 -3.7754772726e+00
6 -2.3459556874e+00 -4.7464266904e+00
7 -2.9663698725e+00 -5.7173848331e+00
8 -3.5865978732e+00 -6.6883441980e+00
9 -4.2068730400e+00 -7.6593051976e+00
10 -4.8271060867e+00 NaN
11 -5.4473026358e+00 NaN
12 -6.0675007599e+00 NaN
13 -6.6876636449e+00 NaN
14 -7.3078117866e+00 NaN
