# Iteration Jacobi Gauss-Seidel
0 2.6422509665e+00 2.3490106466e+00
1 2.9093329160e+00 2.2834414261e+00
2 3.2354415376e+00 2.2444794918e+00
3 3.5937607564e+00 2.4185673773e+00
4 3.9617475909e+00 2.6437387476e+00
5 4.3388112731e+00 2.8646961748e+00
6 4.7143296402e+00 3.0892683384e+00
7 5.0923168970e+00 3.3199204324e+00
8 5.4713058663e+00 3.5565890548e+00
9 5.8501247406e+00 3.9859322129e+00
10 6.2289061943e+00 4.5633342598e+00
11 6.6081286898e+00 5.1437634798e+00
12 6.9870370427e+00 5.7277784955e+00
13 7.3662702214e+00 6.3123986156e+00
14 7.7454344150e+00 6.8986496408e+00
15 8.1245409429e+00 7.4861514354e+00
16 8.5039035912e+00 8.0744065302e+00
17 8.8831435157e+00 8.6633223273e+00
18 9.2623864066e+00 9.2531081009e+00
19 9.6418157681e+00 9.8437311237e+00
20 1.0021156528e+01 1.0434788235e+01
21 1.0400429947e+01 1.1026243434e+01
22 1.0779939978e+01 1.1618285904e+01
23 1.1159383257e+01 1.2210923585e+01
24 1.1538762556e+01 1.2803837653e+01
25 1.1918211981e+01 1.3397009829e+01
26 1.2297750898e+01 1.3990607751e+01
27 1.2677239905e+01 1.4584656522e+01
28 1.3056680978e+01 1.5178891172e+01
29 1.3436205324e+01 1.5773301761e+01
30 1.3815790322e+01 1.6368036896e+01
31 1.4195336886e+01 1.6963129106e+01
32 1.4574846425e+01 1.7558351055e+01
33 1.4954375945e+01 1.8153697115e+01
34 1.5334012797e+01 1.8749299952e+01
35 1.5713619297e+01 1.9345195086e+01
36 1.6093196452e+01 1.9941183093e+01
37 1.6472745306e+01 2.0537260734e+01
38 1.6852373949e+01 2.1133547436e+01
39 1.7232038360e+01 2.1730079550e+01
40 1.7611679020e+01 2.2326679252e+01
41 1.7991296677e+01 2.2923344697e+01
42 1.8370892097e+01 2.3520184260e+01
43 1.8750554231e+01 2.4117234040e+01
44 1.9130253050e+01 2.4714333463e+01
45 1.9509932854e+01 2.5311481528e+01
46 1.9889594204e+01 2.5908777307e+01
47 2.0269237665e+01 2.6506256093e+01
48 2.0648886949e+01 2.7103771434e+01
49 2.1028622390e+01 2.7701322851e+01
50 2.1408342307e+01 2.8299001507e+01
51 2.1788047119e+01 2.8896841622e+01
52 2.2167737251e+01 2.9494708527e+01
53 2.2547413131e+01 3.0092602077e+01
54 2.2927113596e+01 3.0690606642e+01
55 2.3306872526e+01 3.1288755252e+01
56 2.3686618883e+01 3.1886923231e+01
57 2.4066352991e+01 3.2485110648e+01
58 2.4446075172e+01 3.3083395990e+01
59 2.4825785752e+01 3.3681811060e+01
60 2.5205493872e+01 3.4280239773e+01
61 2.5585279091e+01 3.4878682334e+01
62 2.5965053944e+01 3.5477212087e+01
63 2.6344818679e+01 3.6075859627e+01
64 2.6724573545e+01 3.6674516332e+01
65 2.7104318791e+01 3.7273182493e+01
66 2.7484054665e+01 3.7871926928e+01
67 2.7863815280e+01 3.8470779062e+01
68 2.8243618843e+01 3.9069636819e+01
69 2.8623413915e+01 3.9668500546e+01
70 2.9003200690e+01 4.0267435049e+01
71 2.9382979361e+01 4.0866468630e+01
72 2.9762750122e+01 4.1465505009e+01
73 3.0142513163e+01 4.2064544566e+01
74 3.0522287596e+01 4.2663648524e+01
75 3.0902111850e+01 4.3262844124e+01
76 3.1281929033e+01 4.3862040251e+01
77 3.1661739297e+01 4.4461237300e+01
78 3.2041542794e+01 4.5060493284e+01
79 3.2421339674e+01 4.5659834436e+01
80 3.2801130088e+01 4.6259174278e+01
81 3.3180914185e+01 4.6858513208e+01
82 3.3560735250e+01 4.7457906344e+01
83 3.3940575027e+01 4.8057378903e+01
84 3.4320408948e+01 4.8656850517e+01
85 3.4700237134e+01 4.9259994152e+01
86 3.5080059704e+01 4.9863626736e+01
87 3.5459876776e+01 5.0464681388e+01
88 3.5839688469e+01 5.1063156579e+01
89 3.6219494900e+01 5.1659097547e+01
90 3.6599329107e+01 5.2252548342e+01
91 3.6979186124e+01 5.2843551860e+01
92 3.7359038218e+01 5.3432149890e+01
93 3.7738885484e+01 5.4018383148e+01
94 3.8118728016e+01 5.4602291317e+01
95 3.8498565909e+01 5.5183913077e+01
96 3.8878399257e+01 5.5763286144e+01
97 3.9258228152e+01 5.6340447298e+01
98 3.9638052687e+01 5.6915432416e+01
99 4.0017924915e+01 5.7488276502e+01
100 4.0397795597e+01 5.8059013711e+01
101 4.0777662158e+01 5.8627677383e+01
102 4.1157524675e+01 5.9194300062e+01
103 4.1537383224e+01 5.9758913526e+01
104 4.1917237879e+01 6.0321548809e+01
105 4.2297088715e+01 6.0882236225e+01
106 4.2676935806e+01 6.1441005387e+01
107 4.3056779226e+01 6.1997885233e+01
108 4.3436660859e+01 6.2552904043e+01
109 4.3816546375e+01 6.3106089462e+01
110 4.4196428394e+01 6.3657468513e+01
111 4.4576306977e+01 6.4207067623e+01
112 4.4956182185e+01 6.4754912634e+01
113 4.5336054079e+01 6.5301028825e+01
114 4.5715922718e+01 6.5845440923e+01
115 4.6095788163e+01 6.6388173125e+01
116 4.6475650471e+01 6.6929249107e+01
117 4.6855519422e+01 6.7468692043e+01
118 4.7235420176e+01 6.8006524617e+01
119 4.7615317924e+01 6.8542769038e+01
120 4.7995212716e+01 6.9077447050e+01
121 4.8375104601e+01 6.9610579951e+01
122 4.8754993629e+01 7.0142188597e+01
123 4.9134879848e+01 7.0672293422e+01
124 4.9514763307e+01 7.1200914441e+01
125 4.9894644054e+01 7.1728071269e+01
126 5.0274522135e+01 7.2253783128e+01
127 5.0654399314e+01 7.2778068857e+01
128 5.1034312621e+01 7.3300946921e+01
