# Iteration Jacobi Gauss-Seidel
0 1.8091233734e+00 1.4263355044e+00
1 1.6745954627e+00 8.2096557490e-01
2 1.5720961936e+00 3.4023472998e-01
3 1.4706647901e+00 -1.8645868032e-01
4 1.3707260738e+00 -6.1741646312e-01
5 1.2715545349e+00 -1.1024818664e+00
6 1.1726206225e+00 -1.5380551480e+00
7 1.0743069317e+00 -2.0050761969e+00
8 9.7589502062e-01 -2.4423897185e+00
9 8.7768415984e-01 -2.8996909679e+00
10 7.7944869843e-01 -3.3379092794e+00
11 6.8143799007e-01 -3.7892468515e+00
12 5.8323315705e-01 -4.2280392159e+00
13 4.8540280875e-01 -4.6753865363e+00
14 3.8740342629e-01 -5.1145905753e+00
15 2.8947905331e-01 -5.5590989835e+00
16 1.9168684927e-01 -5.9986207766e+00
17 9.3775302005e-02 -6.4410156217e+00
18 -4.0261817555e-03 NaN
19 -1.0174180246e-01 NaN
20 -1.9954477337e-01 NaN
21 -2.9732795285e-01 NaN
22 -3.9495694935e-01 NaN
23 -4.9265198614e-01 NaN
24 -5.9041026119e-01 NaN
25 -6.8802538163e-01 NaN
26 -7.8562099263e-01 NaN
27 -8.8326601618e-01 NaN
28 -9.8095843128e-01 NaN
29 -1.0785063675e+00 NaN
30 -1.1760528350e+00 NaN
31 -1.2736373760e+00 NaN
32 -1.3712585633e+00 NaN
33 -1.4688081642e+00 NaN
34 -1.5663006193e+00 NaN
35 -1.6638231673e+00 NaN
36 -1.7613747899e+00 NaN
37 -1.8589544385e+00 NaN
38 -1.9564100066e+00 NaN
39 -2.0538731472e+00 NaN
40 -2.1513598461e+00 NaN
41 -2.2488693481e+00 NaN
42 -2.3464008849e+00 NaN
43 -2.4438275614e+00 NaN
44 -2.5412550336e+00 NaN
45 -2.6387013749e+00 NaN
46 -2.7361660239e+00 NaN
47 -2.8336484123e+00 NaN
48 -2.9310919533e+00 NaN
49 -3.0284818745e+00 NaN
50 -3.1258872112e+00 NaN
51 -3.2233075417e+00 NaN
52 -3.3207424409e+00 NaN
53 -3.4181914809e+00 NaN
54 -3.5155870403e+00 NaN
55 -3.6129526902e+00 NaN
56 -3.7103308279e+00 NaN
57 -3.8077211311e+00 NaN
58 -3.9051232758e+00 NaN
59 -4.0025369377e+00 NaN
60 -4.0999276790e+00 NaN
61 -4.1972664536e+00 NaN
62 -4.2946155298e+00 NaN
63 -4.3919746589e+00 NaN
64 -4.4893435925e+00 NaN
65 -4.5867220798e+00 NaN
66 -4.6841098760e+00 NaN
67 -4.7814504780e+00 NaN
68 -4.8787704118e+00 NaN
69 -4.9760987868e+00 NaN
70 -5.0734354071e+00 NaN
71 -5.1707800809e+00 NaN
72 -5.2681326156e+00 NaN
73 -5.3654928195e+00 NaN
74 -5.4628217032e+00 NaN
75 -5.5601205678e+00 NaN
76 -5.6574264704e+00 NaN
77 -5.7547392411e+00 NaN
78 -5.8520587539e+00 NaN
79 -5.9493848308e+00 NaN
80 -6.0467173492e+00 NaN
81 -6.1440561224e+00 NaN
82 -6.2413401575e+00 NaN
83 -6.3386232035e+00 NaN
84 -6.4359120401e+00 NaN
