# Iteration Jacobi Gauss-Seidel
0 1.8982302857e+00 1.5985262782e+00
1 1.7980607401e+00 1.0266673433e+00
2 1.6992525966e+00 4.8911166784e-01
3 1.6005001461e+00 -5.9828484937e-02
4 1.5018799929e+00 -6.0706872473e-01
5 1.4033519523e+00 -1.1514501590e+00
6 1.3053557104e+00 -1.7008089059e+00
7 1.2072531917e+00 -2.2445679584e+00
8 1.1092865088e+00 -2.7937342402e+00
9 1.0114019301e+00 -3.3382573683e+00
10 9.1354195939e-01 -3.8144205934e+00
11 8.1573815412e-01 -4.2636186521e+00
12 7.1802193238e-01 -4.7016897796e+00
13 6.2020905361e-01 -5.1502497255e+00
14 5.2262584143e-01 -5.5862162978e+00
15 4.2491795400e-01 -6.0343409509e+00
16 3.2729233880e-01 -6.4687491147e+00
17 2.2973279819e-01 NaN
18 1.3208234564e-01 NaN
19 3.4542775443e-02 NaN
20 -6.2965913616e-02 NaN
21 -1.6054281154e-01 NaN
22 -2.5806643834e-01 NaN
23 -3.5551555776e-01 NaN
24 -4.5301717506e-01 NaN
25 -5.5056973348e-01 NaN
26 -6.4795912375e-01 NaN
27 -7.4538979060e-01 NaN
28 -8.4286075556e-01 NaN
29 -9.4033156912e-01 NaN
30 -1.0376978796e+00 NaN
31 -1.1350965690e+00 NaN
32 -1.2325268773e+00 NaN
33 -1.3299686418e+00 NaN
34 -1.4273041033e+00 NaN
35 -1.5246654442e+00 NaN
36 -1.6220520935e+00 NaN
37 -1.7194634259e+00 NaN
38 -1.8168038663e+00 NaN
39 -1.9141267842e+00 NaN
40 -2.0114703116e+00 NaN
41 -2.1088339887e+00 NaN
42 -2.2062173272e+00 NaN
43 -2.3035074800e+00 NaN
44 -2.4008101393e+00 NaN
45 -2.4981294907e+00 NaN
46 -2.5954651748e+00 NaN
47 -2.6928168159e+00 NaN
48 -2.7900946617e+00 NaN
49 -2.8873734560e+00 NaN
50 -2.9846659835e+00 NaN
51 -3.0819719660e+00 NaN
52 -3.1792911148e+00 NaN
53 -3.2765840984e+00 NaN
54 -3.3738378002e+00 NaN
55 -3.4711029601e+00 NaN
56 -3.5683793629e+00 NaN
57 -3.6656667861e+00 NaN
58 -3.7629650014e+00 NaN
59 -3.8602229980e+00 NaN
60 -3.9574614156e+00 NaN
61 -4.0547093438e+00 NaN
62 -4.1519666104e+00 NaN
63 -4.2492330390e+00 NaN
64 -4.3465084495e+00 NaN
65 -4.4437594342e+00 NaN
66 -4.5409804892e+00 NaN
67 -4.6382095414e+00 NaN
68 -4.7354464532e+00 NaN
69 -4.8326910848e+00 NaN
70 -4.9299432938e+00 NaN
71 -5.0272029364e+00 NaN
72 -5.1244110760e+00 NaN
73 -5.2216207888e+00 NaN
74 -5.3188371950e+00 NaN
75 -5.4160601837e+00 NaN
76 -5.5132896409e+00 NaN
77 -5.6105254533e+00 NaN
78 -5.7077675048e+00 NaN
79 -5.8049591301e+00 NaN
80 -5.9021555064e+00 NaN
81 -5.9993575509e+00 NaN
82 -6.0965651779e+00 NaN
83 -6.1937782922e+00 NaN
84 -6.2909968089e+00 NaN
85 -6.3882206202e+00 NaN
