# Iteration Jacobi Gauss-Seidel
0 1.1827865281e+00 8.1834240232e-01
1 7.7597238849e-01 4.4676056219e-02
2 3.7106702771e-01 -7.5105189885e-01
3 -3.1521894678e-02 -1.5306817900e+00
4 -4.3267796365e-01 -2.3153944551e+00
5 -8.3328305270e-01 -3.0934796577e+00
6 -1.2336034571e+00 -3.8748830945e+00
7 -1.6331891788e+00 -4.6524635314e+00
8 -2.0331851440e+00 -5.4324391921e+00
9 -2.4325102850e+00 -6.2101673074e+00
10 -2.8321529566e+00 -6.9892729602e+00
11 -3.2314481259e+00 NaN
12 -3.6307770395e+00 NaN
13 -4.0301809132e+00 NaN
14 -4.4292438007e+00 NaN
15 -4.8284701631e+00 NaN
16 -5.2276604849e+00 NaN
17 -5.6266311155e+00 NaN
18 -6.0257165351e+00 NaN
19 -6.4248540099e+00 NaN
20 -6.8237127156e+00 NaN
