# Iteration Jacobi Gauss-Seidel
0 1.2921324079e+00 9.2505921903e-01
1 8.8749076683e-01 1.4664922195e-01
2 4.8394043169e-01 -6.4526513973e-01
3 8.2493083333e-02 -1.4239199869e+00
4 -3.1773356346e-01 -2.2055255499e+00
5 -7.1753169237e-01 -2.9844525488e+00
6 -1.1172827178e+00 -3.7634087795e+00
7 -1.5167148404e+00 -4.5421790673e+00
8 -1.9160101291e+00 -5.3205932919e+00
9 -2.3153086280e+00 -6.0990828995e+00
10 -2.7144383978e+00 -6.8775446609e+00
11 -3.1135196572e+00 NaN
12 -3.5126380039e+00 NaN
13 -3.9115250848e+00 NaN
14 -4.3105802589e+00 NaN
15 -4.7094265139e+00 NaN
16 -5.1082672803e+00 NaN
17 -5.5072263418e+00 NaN
18 -5.9059587916e+00 NaN
19 -6.3047176754e+00 NaN
20 -6.7035631242e+00 NaN
