# Iteration Jacobi Gauss-Seidel
0 2.6446199365e+00 2.3500699064e+00
1 2.9124043223e+00 2.2841136653e+00
2 3.2389167897e+00 2.2448807093e+00
3 3.5974168579e+00 2.4169533397e+00
4 3.9654153719e+00 2.6421636179e+00
5 4.3425802296e+00 2.8630882429e+00
6 4.7181449122e+00 3.0876044106e+00
7 5.0961378138e+00 3.3496794040e+00
8 5.4751465163e+00 3.9103046226e+00
9 5.8539654784e+00 4.4783236369e+00
10 6.2327697115e+00 5.0603629935e+00
11 6.6119908416e+00 5.6415871970e+00
12 6.9908986457e+00 6.2251704047e+00
13 7.3701543811e+00 6.8099036408e+00
14 7.7493181868e+00 7.3964725564e+00
15 8.1284469056e+00 7.9838825765e+00
16 8.5078093293e+00 8.5720455175e+00
17 8.8870491538e+00 9.1609284631e+00
18 9.2663139983e+00 9.7509837725e+00
19 9.6457433355e+00 1.0341523226e+01
20 1.0025084154e+01 1.0932504412e+01
21 1.0404379376e+01 1.1523923289e+01
22 1.0783889495e+01 1.2116187608e+01
23 1.1163332924e+01 1.2708754660e+01
24 1.1542712437e+01 1.3301603504e+01
25 1.1922183534e+01 1.3894739700e+01
26 1.2301722653e+01 1.4488526333e+01
27 1.2681211910e+01 1.5082514058e+01
28 1.3060653283e+01 1.5676691680e+01
29 1.3440199231e+01 1.6271067844e+01
30 1.3819784496e+01 1.6865967248e+01
31 1.4199331366e+01 1.7461005756e+01
32 1.4578841250e+01 1.8056177103e+01
33 1.4958392368e+01 1.8651490643e+01
34 1.5338029523e+01 1.9247238953e+01
35 1.5717636357e+01 1.9843086176e+01
36 1.6097213880e+01 2.0439028734e+01
37 1.6476763131e+01 2.1035075787e+01
38 1.6856413346e+01 2.1631493046e+01
39 1.7236078105e+01 2.2227981926e+01
40 1.7615719138e+01 2.2824540397e+01
41 1.7995337194e+01 2.3421177085e+01
42 1.8374933039e+01 2.4018135078e+01
43 1.8754616773e+01 2.4615145477e+01
44 1.9134315964e+01 2.5212207179e+01
45 1.9513996162e+01 2.5809328181e+01
46 1.9893657927e+01 2.6406732331e+01
47 2.0273301824e+01 2.7004174964e+01
48 2.0652972784e+01 2.7601655548e+01
49 2.1032708608e+01 2.8199181448e+01
50 2.1412428927e+01 2.8796959997e+01
51 2.1792134159e+01 2.9394766699e+01
52 2.2171824729e+01 2.9992601384e+01
53 2.2551501063e+01 3.0590470820e+01
54 2.2931223253e+01 3.1188568034e+01
55 2.3310982584e+01 3.1786685588e+01
56 2.3690729359e+01 3.2384823542e+01
57 2.4070463900e+01 3.2982988121e+01
58 2.4450186529e+01 3.3581359847e+01
59 2.4829897571e+01 3.4179745910e+01
60 2.5209627507e+01 3.4778146514e+01
61 2.5589413137e+01 3.5376567394e+01
62 2.5969188414e+01 3.5975178064e+01
63 2.6348953586e+01 3.6573798392e+01
64 2.6728708902e+01 3.7172428675e+01
65 2.7108454610e+01 3.7771074210e+01
66 2.7488190959e+01 3.8369894747e+01
67 2.7867973457e+01 3.8968721255e+01
68 2.8247777444e+01 3.9567554088e+01
69 2.8627572952e+01 4.0166398153e+01
70 2.9007360174e+01 4.0765404483e+01
71 2.9387139303e+01 4.1364413850e+01
72 2.9766910532e+01 4.1963426642e+01
73 3.0146674053e+01 4.2562447418e+01
74 3.0526470474e+01 4.3161619385e+01
75 3.0906295159e+01 4.3760792037e+01
76 3.1286112782e+01 4.4359965778e+01
77 3.1665923496e+01 4.4959144855e+01
78 3.2045727453e+01 4.5558465414e+01
79 3.2425524802e+01 4.6157784759e+01
80 3.2805315694e+01 4.6757103299e+01
81 3.3185100278e+01 4.7356425003e+01
82 3.3564943416e+01 4.7955879613e+01
83 3.3944783632e+01 4.8555331442e+01
84 3.4324618003e+01 4.9154781111e+01
85 3.4704446646e+01 4.9756108713e+01
