-1.000000e+00 9.090909e-02
-9.310345e-01 1.034313e-01
-8.620690e-01 1.186010e-01
-7.931034e-01 1.371718e-01
-7.241379e-01 1.601600e-01
-6.551724e-01 1.889463e-01
-5.862069e-01 2.254087e-01
-5.172414e-01 2.720802e-01
-4.482759e-01 3.322797e-01
-3.793103e-01 4.100439e-01
-3.103448e-01 5.093882e-01
-2.413793e-01 6.318557e-01
-1.724138e-01 7.708524e-01
-1.034483e-01 9.033298e-01
-3.448276e-02 9.882491e-01
3.448276e-02 9.882491e-01
1.034483e-01 9.033298e-01
1.724138e-01 7.708524e-01
2.413793e-01 6.318557e-01
3.103448e-01 5.093882e-01
3.793103e-01 4.100439e-01
4.482759e-01 3.322797e-01
5.172414e-01 2.720802e-01
5.862069e-01 2.254087e-01
6.551724e-01 1.889463e-01
7.241379e-01 1.601600e-01
7.931034e-01 1.371718e-01
8.620690e-01 1.186010e-01
9.310345e-01 1.034313e-01
1.000000e+00 9.090909e-02
