# Step_Size Forward_Error Central_Error
4.27466e-05 2.56465e-05 1.82563e-09
4.0711e-05 2.44252e-05 1.65591e-09
3.87724e-05 2.3262e-05 1.50194e-09
3.69261e-05 2.21542e-05 1.36234e-09
3.51677e-05 2.10992e-05 1.23569e-09
3.34931e-05 2.00944e-05 1.12075e-09
3.18982e-05 1.91375e-05 1.0166e-09
3.03792e-05 1.82261e-05 9.22081e-10
2.89326e-05 1.73582e-05 8.36394e-10
2.75548e-05 1.65315e-05 7.58561e-10
2.62427e-05 1.57443e-05 6.88092e-10
2.4993e-05 1.49945e-05 6.24094e-10
2.38029e-05 1.42805e-05 5.66062e-10
2.26694e-05 1.36004e-05 5.13445e-10
2.15899e-05 1.29528e-05 4.65752e-10
2.05618e-05 1.23359e-05 4.22442e-10
1.95827e-05 1.17485e-05 3.83174e-10
1.86502e-05 1.1189e-05 3.47603e-10
1.77621e-05 1.06562e-05 3.15127e-10
1.69163e-05 1.01488e-05 2.85879e-10
1.61107e-05 9.66547e-06 2.59227e-10
1.53436e-05 9.20519e-06 2.35103e-10
1.46129e-05 8.76684e-06 2.13373e-10
1.39171e-05 8.34936e-06 1.93379e-10
1.32543e-05 7.95176e-06 1.75604e-10
1.26232e-05 7.5731e-06 1.59051e-10
1.20221e-05 7.21247e-06 1.4445e-10
1.14496e-05 6.86901e-06 1.30976e-10
1.09044e-05 6.54191e-06 1.18795e-10
1.03851e-05 6.23039e-06 1.07655e-10
9.8906e-06 5.9337e-06 9.76494e-11
9.41962e-06 5.65113e-06 8.87439e-11
8.97106e-06 5.38203e-06 8.0406e-11
8.54387e-06 5.12574e-06 7.29613e-11
8.13702e-06 4.88165e-06 6.62357e-11
7.74954e-06 4.64919e-06 6.02345e-11
7.38052e-06 4.4278e-06 5.41458e-11
7.02906e-06 4.21695e-06 4.93039e-11
6.69434e-06 4.01614e-06 4.49234e-11
6.37557e-06 3.82489e-06 4.03886e-11
6.07197e-06 3.64275e-06 3.68106e-11
5.78283e-06 3.46929e-06 3.3268e-11
5.50745e-06 3.30408e-06 3.03207e-11
5.24519e-06 3.14674e-06 2.73284e-11
4.99542e-06 2.9969e-06 2.50878e-11
4.75755e-06 2.85418e-06 2.23444e-11
4.531e-06 2.71827e-06 2.06854e-11
4.31523e-06 2.58883e-06 1.87041e-11
4.10975e-06 2.46555e-06 1.74177e-11
3.91404e-06 2.34814e-06 1.5054e-11
3.72766e-06 2.23632e-06 1.39238e-11
3.55015e-06 2.12983e-06 1.23067e-11
3.3811e-06 2.02841e-06 1.1757e-11
3.22009e-06 1.93182e-06 1.0128e-11
3.06676e-06 1.83983e-06 9.26603e-12
2.92072e-06 1.75222e-06 8.04988e-12
2.78164e-06 1.66878e-06 8.16867e-12
2.64918e-06 1.58931e-06 6.81227e-12
2.52303e-06 1.51363e-06 5.64998e-12
2.40288e-06 1.44155e-06 6.35475e-12
2.28846e-06 1.37291e-06 5.03723e-12
2.17949e-06 1.30753e-06 5.58679e-12
2.0757e-06 1.24527e-06 4.65157e-12
1.97686e-06 1.18597e-06 3.71138e-12
